OBJECTID,COUNTYFP10,MAZ,TAZ,PUMA5,tractid,CensusTract,Bloc_GroupID,BlockGroup,COUNTY,COUNTY_N
12698,85,219106,200308,2708,6085506301.000000000000000,506301,60855063012.000000000000000,2,SANTA CLARA,7
12699,85,219107,200553,2708,6085506204.000000000000000,506204,60855062044.000000000000000,4,SANTA CLARA,7
12700,85,219109,200551,2708,6085506204.000000000000000,506204,60855062043.000000000000000,3,SANTA CLARA,7
12701,85,219110,200681,2712,6085512027.000000000000000,512027,60855120272.000000000000000,2,SANTA CLARA,7
12702,85,219111,200043,2701,6085511302.000000000000000,511302,60855113023.000000000000000,3,SANTA CLARA,7
12703,85,219120,201075,2701,6085510700.000000000000000,510700,60855107001.000000000000000,1,SANTA CLARA,7
12704,85,219121,200626,2703,6085504602.000000000000000,504602,60855046021.000000000000000,1,SANTA CLARA,7
12705,85,219123,200217,2701,6085513000.000000000000000,513000,60855130001.000000000000000,1,SANTA CLARA,7
12706,85,219125,201061,2701,6085510803.000000000000000,510803,60855108031.000000000000000,1,SANTA CLARA,7
12707,85,219127,201075,2701,6085511705.000000000000000,511705,60855117051.000000000000000,1,SANTA CLARA,7
12708,85,219135,201033,2707,6085508101.000000000000000,508101,60855081013.000000000000000,3,SANTA CLARA,7
12709,85,219146,200262,2707,6085507701.000000000000000,507701,60855077013.000000000000000,3,SANTA CLARA,7
12710,85,219153,201019,2707,6085508101.000000000000000,508101,60855081011.000000000000000,1,SANTA CLARA,7
12711,85,219155,200932,2702,6085504802.000000000000000,504802,60855048021.000000000000000,1,SANTA CLARA,7
12712,85,219158,201019,2707,6085508101.000000000000000,508101,60855081011.000000000000000,1,SANTA CLARA,7
12713,85,219159,200376,2702,6085509102.000000000000000,509102,60855091021.000000000000000,1,SANTA CLARA,7
12714,85,219164,200486,2703,6085504901.000000000000000,504901,60855049011.000000000000000,1,SANTA CLARA,7
12715,85,219167,200361,2708,6085506604.000000000000000,506604,60855066045.000000000000000,5,SANTA CLARA,7
12716,85,219174,200134,2701,6085511707.000000000000000,511707,60855117071.000000000000000,1,SANTA CLARA,7
12717,85,219175,200134,2701,6085511707.000000000000000,511707,60855117071.000000000000000,1,SANTA CLARA,7
12718,85,219177,200135,2701,6085511704.000000000000000,511704,60855117043.000000000000000,3,SANTA CLARA,7
12719,85,219191,200058,2706,6085512308.000000000000000,512308,60855123082.000000000000000,2,SANTA CLARA,7
