MAZ,e_ag,e_natres,e_util,e_constr,e_man_lgt,e_man_hvy,e_man_bio,e_man_tech,e_logis,e_ret_reg,e_ret_loc,e_transp,e_info,e_fire,e_serv_pers,e_lease,e_prof,e_serv_bus,e_ed_k12,e_ed_high,e_ed_other,e_health,e_serv_soc,e_art_rec,e_hotel,e_eat,e_gov,e_mis
211616,NA,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,2.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211619,NA,NA,NA,NA,NA,NA,NA,7501.0,NA,4.0,NA,NA,NA,4.0,NA,NA,43.0,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA
211620,NA,NA,80.0,373.0,149.0,25.0,NA,30.0,114.0,21.0,15.0,25.0,13.0,3.0,69.0,NA,160.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0
211625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,6.0,5.0,NA,2.0,NA,NA,NA,NA,NA,4.0,NA,32.0,NA,NA,3.0
211626,NA,NA,NA,NA,14.0,295.0,NA,8.0,130.0,NA,NA,NA,NA,NA,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
211627,NA,NA,NA,101.0,98.0,NA,NA,26.0,11.0,106.0,125.0,NA,NA,NA,NA,NA,15.0,NA,NA,NA,NA,45.0,NA,40.0,NA,153.0,NA,NA
211629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211632,NA,NA,NA,13.0,80.0,NA,NA,16.0,NA,52.0,83.0,NA,36.0,32.0,27.0,NA,25.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,19.0,6.0
211638,NA,NA,NA,9.0,NA,1100.0,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0,NA
211648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0,NA,NA,NA,NA,NA,NA
211657,5.0,NA,NA,NA,10.0,NA,NA,NA,NA,5.0,NA,NA,NA,NA,3.0,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
211661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211666,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA
211671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,10.0,NA,3.0
211680,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211681,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,2.0,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0,10.0,NA,0.0
211683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0,3.0,NA,6.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA
211686,NA,NA,NA,20.0,60.0,NA,NA,NA,11.0,NA,NA,NA,NA,2.0,47.0,NA,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211687,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,5.0,NA,NA,2.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0,NA,NA,NA
211690,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.0,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211691,NA,NA,4.0,486.0,68.0,100.0,NA,NA,215.0,9.0,NA,129.0,6.0,NA,33.0,9.0,11.0,NA,NA,11.0,NA,13.0,NA,NA,NA,NA,55.0,0.0
211692,NA,NA,NA,NA,NA,NA,NA,NA,42.0,NA,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,50.0,NA,NA,NA,NA
211693,NA,NA,300.0,NA,NA,NA,NA,112.0,75.0,NA,0.0,NA,38.0,6.0,NA,NA,115.0,15.0,NA,30.0,4.0,NA,NA,NA,NA,NA,NA,0.0
211695,NA,NA,NA,5.0,NA,NA,NA,10.0,7.0,17.0,4.0,NA,28.0,30.0,NA,NA,31.0,NA,NA,NA,NA,6.0,NA,2.0,NA,NA,NA,NA
211696,NA,NA,NA,NA,11.0,8.0,NA,20.0,42.0,NA,NA,NA,23.0,NA,8.0,NA,15.0,NA,NA,NA,NA,8.0,NA,75.0,NA,NA,NA,3.0
211699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,20.0,NA,NA,NA,NA
211700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,1.0,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
211702,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,701.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,2.0,NA,NA,NA,NA,NA
211710,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,4.0,8.0,2.0,NA,5.0,4.0,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA
211712,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,3.0,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211714,NA,NA,NA,3.0,2.0,NA,NA,NA,8.0,87.0,125.0,4.0,6.0,31.0,58.0,NA,8.0,1.0,NA,NA,7.0,56.0,NA,NA,12.0,127.0,NA,0.0
211715,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,180.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211716,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211719,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,120.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211722,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211725,NA,NA,NA,NA,2.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
211727,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,2.0,NA,NA,4.0,2.0,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA
211729,NA,NA,NA,12.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA
211731,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,14.0,NA,NA,NA,NA,2.0
211738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0
211742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211743,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211744,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,1.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211747,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211757,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211763,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,10.0,NA,4.0,3.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211766,NA,NA,NA,NA,3.0,NA,NA,NA,NA,20.0,NA,NA,4.0,4.0,20.0,NA,15.0,NA,NA,NA,NA,20.0,NA,NA,NA,NA,NA,0.0
211767,NA,NA,NA,10.0,9.0,NA,NA,NA,65.0,NA,NA,6.0,NA,NA,35.0,NA,8.0,100.0,NA,2.0,NA,NA,NA,NA,NA,NA,NA,3.0
211768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA
211769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
211775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211778,NA,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211781,NA,NA,NA,NA,NA,NA,NA,10.0,NA,NA,1.0,NA,8.0,133.0,7.0,NA,8.0,2.0,NA,10.0,NA,16.0,11.0,5.0,NA,NA,NA,NA
211783,NA,NA,NA,14.0,5.0,NA,NA,NA,4.0,2.0,12.0,NA,NA,209.0,54.0,NA,20.0,1.0,NA,NA,3.0,10.0,NA,4.0,NA,20.0,NA,NA
211796,NA,NA,NA,21.0,NA,NA,NA,NA,NA,NA,9.0,NA,10.0,6.0,21.0,NA,56.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA
211800,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,78.0,NA,NA,112.0,22.0,NA,19.0,NA,NA,NA,NA,NA,NA,NA,NA,10.0,NA,15.0
211805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211810,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA
211813,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211817,NA,NA,NA,30.0,NA,NA,NA,300.0,NA,30.0,23.0,27.0,60.0,10.0,8.0,NA,40.0,27.0,NA,3298.0,20.0,2046.0,2.0,NA,NA,15.0,NA,9.0
211827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211832,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
211834,NA,NA,NA,14.0,23.0,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,7.0,NA,NA,NA,3.0,NA,NA,8.0,NA,5.0,NA,NA
211837,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,15.0,NA
211852,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,21.0,11.0,NA,16.0,NA,NA,3.0,NA,NA
211853,NA,NA,NA,5.0,NA,NA,NA,NA,53.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0,NA,NA
211854,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,4.0,NA,NA,6.0,6.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0
211856,NA,NA,2.0,3.0,NA,NA,NA,550.0,NA,4.0,9.0,3.0,4.0,12.0,3.0,NA,4.0,NA,15.0,NA,NA,NA,NA,NA,NA,NA,24.0,0.0
211860,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211861,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA
211864,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0,29.0,NA,2.0,20.0,19.0,NA,5.0,NA,103.0,NA,NA,22.0,4.0,25.0,NA,5.0,15.0,NA
211865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0,NA,NA
211869,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,0.0
211870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211872,NA,NA,NA,25.0,NA,NA,NA,NA,14.0,33.0,70.0,5.0,23.0,409.0,38.0,NA,318.0,30.0,NA,NA,10.0,19.0,20.0,7.0,NA,166.0,NA,8.0
211875,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,3.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
211876,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,10.0,NA,5.0,0.0,8.0,NA,NA,NA,75.0,NA,3.0,NA,1.0,NA,NA,NA,NA,NA
211877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211880,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211884,NA,NA,NA,19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,14.0,NA,2.0,NA,NA,1.0,NA,26.0,NA,NA,NA,42.0,NA,3.0
211886,NA,NA,2.0,4.0,NA,NA,NA,NA,2.0,7.0,34.0,NA,NA,10.0,15.0,NA,11.0,3.0,NA,NA,NA,10.0,NA,4.0,NA,60.0,NA,NA
211888,NA,NA,NA,NA,12.0,NA,NA,NA,NA,8.0,12.0,49.0,NA,25.0,9.0,NA,9.0,11.0,NA,NA,NA,32.0,34.0,4.0,9.0,17.0,81.0,0.0
211889,NA,NA,197.0,283.0,126.0,10.0,NA,17.0,167.0,17.0,51.0,22.0,29.0,13.0,37.0,NA,8.0,15.0,NA,NA,NA,2.0,18.0,NA,5.0,253.0,50.0,6.0
211890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.0,127.0
211892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,7.0
211893,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,158.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,41.0,NA,3.0
211894,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,1.0,3.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211895,NA,NA,NA,31.0,1.0,NA,NA,NA,10.0,24.0,NA,NA,5.0,149.0,11.0,NA,38.0,6.0,NA,NA,4.0,9.0,NA,NA,NA,6.0,NA,6.0
211898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,3.0,1.0,45.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA
211900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0
211901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211903,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211906,NA,NA,NA,NA,NA,NA,NA,NA,3.0,160.0,250.0,NA,NA,NA,18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,94.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211910,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,43.0,1.0,NA,2.0,11.0,NA,3.0,2.0,NA,NA,NA,27.0,NA,NA,NA,43.0,NA,0.0
211911,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,10.0,NA,NA,NA,2.0,NA,NA,3.0,NA,NA,NA,NA,7.0,NA,NA,10.0,NA,0.0
211912,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,4.0,NA,NA,8.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211913,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,2.0,5.0,8.0,NA,20.0,4.0,NA,NA,NA,NA,NA,NA,5.0,25.0,NA,NA
211914,NA,NA,1.0,171.0,15.0,NA,NA,NA,55.0,4.0,2.0,13.0,4.0,NA,44.0,NA,NA,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211916,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211918,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,19.0,NA,8.0,NA,NA,NA,NA,NA,6.0,NA,3.0,NA,NA,NA
211919,NA,NA,NA,4.0,NA,NA,NA,NA,1.0,NA,2.0,NA,NA,8.0,12.0,NA,3.0,NA,NA,NA,NA,7.0,NA,1.0,NA,NA,NA,0.0
211920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211924,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,11.0,NA,NA,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA
211925,NA,NA,NA,NA,NA,NA,0.0,NA,NA,60.0,NA,NA,17.0,NA,NA,NA,50.0,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,3.0
211930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211932,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,1.0,5.0,NA,1.0,5.0,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA
211933,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0,14.0,3.0,1.0,3.0,24.0,NA,NA,2.0,NA,NA,NA,4.0,7.0,NA,3.0,39.0,NA,NA
211934,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,1.0,NA,23.0,1.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211936,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211938,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,8.0,NA,NA,25.0,NA,NA,6.0,NA,NA,NA,NA,81.0,NA,NA,NA,NA,NA,3.0
211939,NA,NA,NA,113.0,172.0,4.0,NA,NA,52.0,23.0,102.0,3.0,NA,NA,27.0,NA,3.0,NA,NA,NA,4.0,NA,NA,NA,NA,21.0,NA,3.0
211942,NA,NA,NA,25.0,NA,16.0,NA,300.0,312.0,35.0,4.0,NA,439.0,32.0,3.0,NA,165.0,20.0,NA,NA,NA,10.0,NA,NA,18.0,40.0,NA,3.0
211943,NA,NA,NA,8.0,2.0,NA,NA,NA,NA,3.0,16.0,NA,NA,3.0,2.0,NA,2.0,NA,NA,NA,NA,NA,NA,736.0,60.0,7.0,NA,0.0
211944,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,6.0,NA,6.0,40.0,NA,NA,18.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0
211945,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
211948,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA
211951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,NA,NA,10.0,0.0,NA,1.0,1.0,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA
211954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,0.0
211958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,250.0,NA,NA,NA
211961,NA,NA,NA,3.0,10.0,NA,NA,NA,NA,83.0,100.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
